circle_id,single_id,level,inheritance_last,inheritance_path,inheritance_depth,inheritance_first
YodcCv2opOuCNNFjplgSH1z9GohOExL,YodcCv2opOuCNNFjplgSH1z9GohOExL,9,YodcCv2opOuCNNFjplgSH1z9GohOExL,"[""YodcCv2opOuCNNFjplgSH1z9GohOExL""]",1,YodcCv2opOuCNNFjplgSH1z9GohOExL
awxqYECxnFOHXWZrWH9tXA6U5AbPRZM,awxqYECxnFOHXWZrWH9tXA6U5AbPRZM,9,awxqYECxnFOHXWZrWH9tXA6U5AbPRZM,"[""awxqYECxnFOHXWZrWH9tXA6U5AbPRZM""]",1,awxqYECxnFOHXWZrWH9tXA6U5AbPRZM
e29XBxGeCrqoLC9aIy1J8LnaDK5uONV,e29XBxGeCrqoLC9aIy1J8LnaDK5uONV,9,e29XBxGeCrqoLC9aIy1J8LnaDK5uONV,"[""e29XBxGeCrqoLC9aIy1J8LnaDK5uONV""]",1,e29XBxGeCrqoLC9aIy1J8LnaDK5uONV

