id,title_,description_
1,Pakistan Education Endowment Fund / NEST Scholarship Policy,"<p class=""MsoNormal""><span style=""font-family:""Arial"",""sans-serif"";color:#5F656F"">Pakistan\r\nEducation Endowment Fund (PEEF)/ NEST Scholarship Policy Global Institute of\r\nMedical & Health Sciences, Hyderabad is the partner Institute of PEEF for\r\nNursing (Generic BS Nursing), Lady Health Visitor (LHV), Community Mid Wife\r\n(CMW) & Certified Nursing Assistant (CNA) Scholarship.<br style=""box-sizing: border-box"">\r\n<br style=""box-sizing: border-box"">\r\n1. The GIMHS Institutional Scholarship Award Committee (ISAC) notified to the\r\nPEEF will assess the cases of PEEF Scholarship. The Committee will approve the\r\ncases and report will be submitted to the PEEF for grant / award of the\r\nscholarship for the current year.<br style=""box-sizing: border-box"">\r\n<br style=""box-sizing: border-box""><br></span><o:p></o:p></p>"
2,LUMAHSI Scholarship Policy & Percentage,"<p><span style=""font-size:11.0pt;line-height:115%;\r\nfont-family:""Arial"",""sans-serif"";mso-fareast-font-family:Calibri;mso-fareast-theme-font:\r\nminor-latin;color:#5F656F;mso-ansi-language:EN-US;mso-fareast-language:EN-US;\r\nmso-bidi-language:AR-SA"">Global Institute of Medical & Health Sciences,\r\nHyderabad offer Merit Scholarship to the admitted students of the College.<br style=""box-sizing: border-box"">\r\n<br style=""box-sizing: border-box"">\r\n1. The GIMHS Merit Scholarships is offered to the students who secure First,\r\nSecond and Third Positions in the Institute in Semester Examinations conducted\r\nby LUMHS, Jamshoro.<br style=""box-sizing: border-box"">\r\n<br style=""box-sizing: border-box"">\r\n2. The GIMHS Scholarship Committee will assess the cases of Merit Scholarship. The\r\nCommittee will approve the cases and report will be submitted to the Principal\r\nof the College for grant / award of the scholarship for the current year.<br style=""box-sizing: border-box"">\r\n<br style=""box-sizing: border-box"">\r\n3. The decision of the GIMHS Scholarship Committee shall be final and the\r\ndecision of the Committee will not be challenged in any court of law.<br style=""box-sizing: border-box"">\r\n<br style=""box-sizing: border-box"">\r\n4. Any other scholarship / awards / discounts may also be given to students by\r\nthe management of the College.<br style=""mso-special-character:line-break;\r\nbox-sizing: border-box"">\r\n<!--[if !supportLineBreakNewLine]--><br>\r\n<!--[endif]--></span></p>"

