TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE,CONSTRAINT_NAME,CONSTRAINT_SCHEMA,CONSTRAINT_CATALOG
ccledu_next480,oc_external_config,UNIQUE,config_mount_key,ccledu_next480,def
ccledu_next480,oc_photos_albums,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_directlink,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_rooms,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_collres_collections,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendarobjects,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendarobjects,UNIQUE,calobjects_index,ccledu_next480,def
ccledu_next480,oc_calendar_resources,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_direct_edit,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_recent_contact,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_whats_new,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_whats_new,UNIQUE,version,ccledu_next480,def
ccledu_next480,oc_ex_ui_files_actions,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_files_actions,UNIQUE,ex_ui_files_actions__idx,ccledu_next480,def
ccledu_next480,oc_photos_albums_files,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_photos_albums_files,UNIQUE,paf_album_file,ccledu_next480,def
ccledu_next480,oc_notifications,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_share_lock,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_share_lock,UNIQUE,UNIQ_337F52F8126F525E70EE2FF6,ccledu_next480,def
ccledu_next480,oc_webauthn,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_comments,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_appt_bookings,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_calendar_appt_bookings,UNIQUE,cal_appt_bk_token_uniq_idx,ccledu_next480,def
ccledu_next480,oc_photos_albums_collabs,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_photos_albums_collabs,UNIQUE,album_collabs_uniq_collab,ccledu_next480,def
ccledu_next480,oc_filecache_extended,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_text_steps,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_apps,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_apps,UNIQUE,ex_apps__appid,ccledu_next480,def
ccledu_next480,oc_ex_apps,UNIQUE,ex_apps_c_port__idx,ccledu_next480,def
ccledu_next480,oc_ex_apps,CHECK,status,ccledu_next480,def
ccledu_next480,oc_cards,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_scripts,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_scripts,UNIQUE,ui_script__idx,ccledu_next480,def
ccledu_next480,oc_schedulingobjects,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_authorized_groups,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_richdocuments_direct,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_richdocuments_direct,UNIQUE,rd_direct_token_idx,ccledu_next480,def
ccledu_next480,oc_appconfig,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_speech_to_text_q,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_richdocuments_assets,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_richdocuments_assets,UNIQUE,rd_assets_token_idx,ccledu_next480,def
ccledu_next480,oc_richdocuments_assets,UNIQUE,rd_assets_timestamp_idx,ccledu_next480,def
ccledu_next480,oc_bruteforce_attempts,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_trusted_servers,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_trusted_servers,UNIQUE,url_hash,ccledu_next480,def
ccledu_next480,oc_circles_mount,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_styles,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_ui_styles,UNIQUE,ui_style__idx,ccledu_next480,def
ccledu_next480,oc_properties,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_activity_mq,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_comments_read_markers,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_storages,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_storages,UNIQUE,storages_id_index,ccledu_next480,def
ccledu_next480,oc_textprocessing_tasks,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_accounts_data,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_filecache,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_filecache,UNIQUE,fs_storage_path_hash,ccledu_next480,def
ccledu_next480,oc_mimetypes,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_mimetypes,UNIQUE,mimetype_id_index,ccledu_next480,def
ccledu_next480,oc_open_local_editor,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_open_local_editor,UNIQUE,openlocal_user_path_token,ccledu_next480,def
ccledu_next480,oc_storages_credentials,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_storages_credentials,UNIQUE,stocred_ui,ccledu_next480,def
ccledu_next480,oc_activity,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_onlyoffice_filekey,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_onlyoffice_filekey,UNIQUE,file_id_index,ccledu_next480,def
ccledu_next480,oc_circles_membership,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_files_versions,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_files_versions,UNIQUE,files_versions_uniq_index,ccledu_next480,def
ccledu_next480,oc_files_versions,CHECK,metadata,ccledu_next480,def
ccledu_next480,oc_calendarobjects_props,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_authtoken,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_authtoken,UNIQUE,authtoken_token_index,ccledu_next480,def
ccledu_next480,oc_richdocuments_wopi,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_richdocuments_wopi,UNIQUE,rd_wopi_token_idx,ccledu_next480,def
ccledu_next480,oc_federated_reshares,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_preferences,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_files_metadata,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_files_metadata,UNIQUE,files_meta_fileid,ccledu_next480,def
ccledu_next480,oc_oauth2_access_tokens,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_oauth2_access_tokens,UNIQUE,oauth2_access_hash_idx,ccledu_next480,def
ccledu_next480,oc_profile_config,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_profile_config,UNIQUE,profile_config_user_id_idx,ccledu_next480,def
ccledu_next480,oc_file_locks,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_file_locks,UNIQUE,lock_key_index,ccledu_next480,def
ccledu_next480,oc_addressbookchanges,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_text_documents,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_user_transfer_owner,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_text_processing,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_ex_text_processing,UNIQUE,text_processing__idx,ccledu_next480,def
ccledu_next480,oc_circles_circle,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_circle,UNIQUE,UNIQ_8195F548E3C68343,ccledu_next480,def
ccledu_next480,oc_text_sessions,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_onlyoffice_permissions,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_onlyoffice_permissions,UNIQUE,share_id_index,ccledu_next480,def
ccledu_next480,oc_circles_event,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_known_users,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_login_flow_v2,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_login_flow_v2,UNIQUE,poll_token,ccledu_next480,def
ccledu_next480,oc_login_flow_v2,UNIQUE,login_token,ccledu_next480,def
ccledu_next480,oc_appconfig_ex,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_appconfig_ex,UNIQUE,appconfig_ex__idx,ccledu_next480,def
ccledu_next480,oc_ex_translation_q,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_systemtag,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_systemtag,UNIQUE,tag_ident,ccledu_next480,def
ccledu_next480,oc_oauth2_clients,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_oauth2_clients,UNIQUE,oauth2_client_id_idx,ccledu_next480,def
ccledu_next480,oc_calendar_resources_md,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_flow_checks,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_flow_checks,UNIQUE,flow_unique_hash,ccledu_next480,def
ccledu_next480,oc_collres_accesscache,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_collres_resources,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_twofactor_backupcodes,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_onlyoffice_instance,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_onlyoffice_instance,UNIQUE,onlyoffice_remote_index,ccledu_next480,def
ccledu_next480,oc_vcategory,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_share,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_share,CHECK,attributes,ccledu_next480,def
ccledu_next480,oc_ex_apps_routes,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_richdocuments_template,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_richdocuments_template,UNIQUE,rd_t_user_file,ccledu_next480,def
ccledu_next480,oc_files_reminders,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_files_reminders,UNIQUE,reminders_uniq_idx,ccledu_next480,def
ccledu_next480,oc_text2image_tasks,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_flow_operations_scope,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_flow_operations_scope,UNIQUE,flow_unique_scope,ccledu_next480,def
ccledu_next480,oc_preferences_ex,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_preferences_ex,UNIQUE,preferences_ex__idx,ccledu_next480,def
ccledu_next480,oc_dav_cal_proxy,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_dav_cal_proxy,UNIQUE,dav_cal_proxy_uidx,ccledu_next480,def
ccledu_next480,oc_calendar_reminders,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_token,PRIMARY KEY,PRIMARY,ccledu_next480,def
ccledu_next480,oc_circles_token,UNIQUE,sicisimit,ccledu_next480,def
