id,isnew,title,date,isshow,link_name,link_address,description
6,N,Job Application Form,01-02-2018,N,Download Job Form,JobApplicationForm.doc,N/A
7,N,Job vacancies at Cadet College Larkana,01-08-2018,N,Download Job Form,JobApplicationForm.doc,"Applications are invited from dynamic and dedicated persons, domiciled in Sindh for the following posts:<br><br><a href=""img/downloads/NIT.jpg"" target=""_BLANK""><img width=""300"" src=""img/downloads/NIT.jpg""></a>"
8,N,Job vacancies at Cadet College Larkana,30-08-2019,Y,<blank>,NIT.jpg,"<span style=""display: inline !important; float: none; background-color: transparent; color: rgb(0, 0, 0); font-family: Arial; font-size: 12px; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; line-height: 20px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Applications are invited from dynamic and dedicated persons, domiciled in Sindh for the following posts:</span><br>"

