id,isnew,title,date,isshow,link_name,link_address,description
119,Y,Job Application Form,20-09-2024,Y,Download,Job Application Form Cadet College Larkana 2.pdf,<div>Please click link below to download Job Application Form in PDF:</div><div><br></div><div><br></div><div><br></div><div><br></div>
129,Y,Selection of Cadet College Larkana Staff Final Result,15-Feb-2025,Y,Download,Results New Induction Cadet College Larkana for Website.pdf,<div><br></div><div><br></div><div>Please click link below to download:</div><div><br></div><div><br></div>
130,Y,Selection of Cadet College Larkana Staff Final Result,12-03-2025,Y,Download,Results New Induction Cadet College Larkana for Website 2 (1).pdf,<div><br></div><div>Please click link below to download PDF File:</div><div><br></div><div><br></div>

