meta_id,post_id,meta_key,meta_value
21,11,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:18:""2025/04/about3.jpg"";s:8:""filesize"";i:30533;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:18:""about3-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:15194;}s:9:""thumbnail"";a:5:{s:4:""file"";s:18:""about3-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7585;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
22,12,_wp_attached_file,2025/04/about1.jpg
23,12,pagelayer_image_md5,ea4ce172dbb9967280e376fe78d91c9d
24,12,_wp_attachment_metadata,"a:6:{s:5:""width"";i:700;s:6:""height"";i:466;s:4:""file"";s:18:""2025/04/about1.jpg"";s:8:""filesize"";i:60378;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:18:""about1-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:22846;}s:9:""thumbnail"";a:5:{s:4:""file"";s:18:""about1-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:9929;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
25,13,_wp_attached_file,2025/04/home2.jpg
26,13,pagelayer_image_md5,bead6e74541d5420f432df7bc08c5e7e
27,13,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:428;s:4:""file"";s:17:""2025/04/home2.jpg"";s:8:""filesize"";i:60467;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:17:""home2-300x201.jpg"";s:5:""width"";i:300;s:6:""height"";i:201;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:12294;}s:9:""thumbnail"";a:5:{s:4:""file"";s:17:""home2-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:5958;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:3:""4.8"";s:6:""credit"";s:0:"""";s:6:""camera"";s:9:""NIKON D60"";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:3:""112"";s:3:""iso"";s:3:""200"";s:13:""shutter_speed"";s:8:""0.003125"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
28,14,_wp_attached_file,2025/04/events3.jpg
29,14,pagelayer_image_md5,48b8930982c1d794cd4a4f19e0d04b79
30,14,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:19:""2025/04/events3.jpg"";s:8:""filesize"";i:61365;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""events3-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:25596;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""events3-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:10899;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
31,15,_wp_attached_file,2025/04/teacher2.jpg
32,15,pagelayer_image_md5,002ee43b56b67e12f49aa1275037bd1c
33,15,_wp_attachment_metadata,"a:6:{s:5:""width"";i:300;s:6:""height"";i:300;s:4:""file"";s:20:""2025/04/teacher2.jpg"";s:8:""filesize"";i:6916;s:5:""sizes"";a:1:{s:9:""thumbnail"";a:5:{s:4:""file"";s:20:""teacher2-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:3812;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
34,16,_wp_attached_file,2025/04/banner3.jpg
35,16,pagelayer_image_md5,9d2c9c365618e983fd433a018807a264
36,16,_wp_attachment_metadata,"a:6:{s:5:""width"";i:1000;s:6:""height"";i:667;s:4:""file"";s:19:""2025/04/banner3.jpg"";s:8:""filesize"";i:57965;s:5:""sizes"";a:3:{s:6:""medium"";a:5:{s:4:""file"";s:19:""banner3-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:14559;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""banner3-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:7085;}s:12:""medium_large"";a:5:{s:4:""file"";s:19:""banner3-768x512.jpg"";s:5:""width"";i:768;s:6:""height"";i:512;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:58399;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
37,17,_wp_attached_file,2025/04/branch1.jpg
38,17,pagelayer_image_md5,edfc1311b7cb63e2a16664c58df6eb00
39,17,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:19:""2025/04/branch1.jpg"";s:8:""filesize"";i:45210;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""branch1-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:17566;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""branch1-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:8073;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
40,18,_wp_attached_file,2025/04/course3.jpg
41,18,pagelayer_image_md5,08d57a2277c040a552a6ffd376375c80
42,18,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:19:""2025/04/course3.jpg"";s:8:""filesize"";i:22543;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""course3-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:12255;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""course3-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:6116;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
43,19,_wp_attached_file,2025/04/events1.jpg
44,19,pagelayer_image_md5,66796893e3926f6c28f067976c42a43d
45,19,_wp_attachment_metadata,"a:6:{s:5:""width"";i:640;s:6:""height"";i:426;s:4:""file"";s:19:""2025/04/events1.jpg"";s:8:""filesize"";i:20852;s:5:""sizes"";a:2:{s:6:""medium"";a:5:{s:4:""file"";s:19:""events1-300x200.jpg"";s:5:""width"";i:300;s:6:""height"";i:200;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:10952;}s:9:""thumbnail"";a:5:{s:4:""file"";s:19:""events1-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:4958;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
